ID,Date,Heure,Plateforme,Objectif,Persona,Pilier,Sujet,Titre,Hook,CTA,Format,Prompt Visuel,Prompt Video,Statut
11,2026-07-06,08:00,Facebook,Notoriété locale,"P1 Awa, la maman prévoyante",PIL5 Vie locale & Communauté,Vie locale & Communauté,Rentrée scolaire à Yopougon : pensez aux yeux des enfants,Saviez-vous que... rentrée scolaire à yopougon : pensez aux yeux des enfants ? On vous explique. 👇,Suivez-nous et taguez un voisin de Yopougon ! 🏘️,Story locale,"[Visuel Facebook · 1080x1920 (9:16)] Charte: fond Bleu Nuit #0A1F44 (dominante),…",Voir 04-scripts-video/,À produire
12,2026-07-06,18:30,Facebook,Expertise/B2B,"P2 Koffi, le pro hyperconnecté",PIL6 Coulisses & Expertise B2B,Coulisses & Expertise B2B,La technologie qui mesure votre vue avec précision,Saviez-vous que... la technologie qui mesure votre vue avec précision ? On vous explique. 👇,Contactez-nous en message privé pour une offre entreprise. 🤝,Infographie pro,"[Visuel Facebook · 1080x1350 (4:5)] Charte: fond Bleu Nuit #0A1F44 (dominante), …",Voir 04-scripts-video/,À produire
13,2026-07-07,08:00,Instagram,Notoriété/Expertise,"P1 Awa, la maman prévoyante",PIL1 Pédagogie & Santé visuelle,Pédagogie & Santé visuelle,Vos yeux sont secs ? Voici pourquoi,Vos yeux sont secs ? Voici pourquoi,Enregistrez ce post et partagez-le à un proche concerné. 👀,Carrousel pédagogique,"[Visuel Instagram · 1080x1350 (4:5)] Charte: fond Bleu Nuit #0A1F44 (dominante),…",Voir 04-scripts-video/,À produire
14,2026-07-07,18:30,Facebook,RDV/Vente,"P2 Koffi, le pro hyperconnecté",PIL4 Offres & Conversion,Offres & Conversion,Offre rentrée : pensez à la vue de vos enfants,Et si aujourd'hui était le bon jour pour offre rentrée : pensez à la vue de vos enfants ?,📲 Réservez votre bilan en 2 clics : écrivez « RDV » sur WhatsApp.,Story RDV,"[Visuel Facebook · 1080x1920 (9:16)] Charte: fond Bleu Nuit #0A1F44 (dominante),…",Voir 04-scripts-video/,À produire
15,2026-07-08,08:00,Facebook,Vente,"P2 Koffi, le pro hyperconnecté",PIL2 Produits & Montures,Produits & Montures,Verres progressifs : voir de près et de loin sans changer de lunettes,Vous hésitez encore ? Verres progressifs : voir de près et de loin sans changer de lunettes 👇,"Passez nous voir pour l'essayer, ou écrivez-nous sur WhatsApp. 👓",Photo studio,"[Visuel Facebook · 1080x1350 (4:5)] Charte: fond Bleu Nuit #0A1F44 (dominante), …",Voir 04-scripts-video/,À produire
16,2026-07-08,18:30,Facebook,Confiance/Conversion,"P4 Yann, le jeune stylé",PIL3 Preuve sociale & Témoignages,Preuve sociale & Témoignages,Portrait : rencontrez votre opticien à La Grande Vision,Saviez-vous que... portrait : rencontrez votre opticien à la grande vision ? On vous explique. 👇,Vous aussi ? Écrivez-nous « VUE » sur WhatsApp pour votre bilan. 💬,Story avis,"[Visuel Facebook · 1080x1920 (9:16)] Charte: fond Bleu Nuit #0A1F44 (dominante),…",Voir 04-scripts-video/,À produire
17,2026-07-09,08:00,Facebook,Notoriété locale,"P1 Awa, la maman prévoyante",PIL5 Vie locale & Communauté,Vie locale & Communauté,La Grande Vision au cœur de votre quartier,Saviez-vous que... la grande vision au cœur de votre quartier ? On vous explique. 👇,Suivez-nous et taguez un voisin de Yopougon ! 🏘️,Photo lifestyle,"[Visuel Facebook · 1080x1350 (4:5)] Charte: fond Bleu Nuit #0A1F44 (dominante), …",Voir 04-scripts-video/,À produire
18,2026-07-09,18:30,TikTok,Notoriété/Expertise,"P3 Tante Mariam, la presbyte active",PIL1 Pédagogie & Santé visuelle,Pédagogie & Santé visuelle,La lumière bleue : mythe ou vrai danger ?,La lumière bleue : mythe ou vrai danger ?,Enregistrez ce post et partagez-le à un proche concerné. 👀,Reel explicatif,"[Visuel TikTok · 1080x1920 (9:16)] Charte: fond Bleu Nuit #0A1F44 (dominante), a…",Voir 04-scripts-video/,À produire
19,2026-07-10,08:00,WhatsApp Business,RDV/Vente,"P3 Tante Mariam, la presbyte active",PIL4 Offres & Conversion,Offres & Conversion,Besoin de nouvelles lunettes ? Écrivez-nous sur WhatsApp,Besoin de nouvelles lunettes ? Écrivez-nous sur WhatsApp,📲 Réservez votre bilan en 2 clics : écrivez « RDV » sur WhatsApp.,Reel offre,[Visuel WhatsApp Business · 1080x1920 (9:16)] Charte: fond Bleu Nuit #0A1F44 (do…,Voir 04-scripts-video/,À produire
20,2026-07-10,18:30,TikTok,Vente,"P3 Tante Mariam, la presbyte active",PIL2 Produits & Montures,Produits & Montures,"Les verres anti-lumière bleue, pour qui ?","Les verres anti-lumière bleue, pour qui ?","Passez nous voir pour l'essayer, ou écrivez-nous sur WhatsApp. 👓",Story collection,"[Visuel TikTok · 1080x1920 (9:16)] Charte: fond Bleu Nuit #0A1F44 (dominante), a…",Voir 04-scripts-video/,À produire
21,2026-07-11,08:00,LinkedIn,Confiance/Conversion,"P1 Awa, la maman prévoyante",PIL3 Preuve sociale & Témoignages,Preuve sociale & Témoignages,Ils nous ont fait confiance : merci à nos clients de Yopougon,Saviez-vous que... ils nous ont fait confiance : merci à nos clients de yopougon ? On vous explique. 👇,Vous aussi ? Écrivez-nous « VUE » sur WhatsApp pour votre bilan. 💬,Témoignage vidéo,"[Visuel LinkedIn · 1080x1080 (1:1)] Charte: fond Bleu Nuit #0A1F44 (dominante), …",Voir 04-scripts-video/,À produire
22,2026-07-11,18:30,TikTok,Notoriété/Expertise,"P1 Awa, la maman prévoyante",PIL1 Pédagogie & Santé visuelle,Pédagogie & Santé visuelle,À quel âge faire le premier bilan de vue de son enfant,Saviez-vous que... à quel âge faire le premier bilan de vue de son enfant ? On vous explique. 👇,Enregistrez ce post et partagez-le à un proche concerné. 👀,Reel explicatif,"[Visuel TikTok · 1080x1920 (9:16)] Charte: fond Bleu Nuit #0A1F44 (dominante), a…",Voir 04-scripts-video/,À produire
23,2026-07-12,08:00,Facebook,RDV/Vente,"P3 Tante Mariam, la presbyte active",PIL4 Offres & Conversion,Offres & Conversion,Forfait verres progressifs : confort et clarté,Et si aujourd'hui était le bon jour pour forfait verres progressifs : confort et clarté ?,📲 Réservez votre bilan en 2 clics : écrivez « RDV » sur WhatsApp.,Reel offre,"[Visuel Facebook · 1080x1920 (9:16)] Charte: fond Bleu Nuit #0A1F44 (dominante),…",Voir 04-scripts-video/,À produire
24,2026-07-12,18:30,Facebook,Vente,"P2 Koffi, le pro hyperconnecté",PIL2 Produits & Montures,Produits & Montures,Montures fines vs épaisses : laquelle pour vous,Vous hésitez encore ? Montures fines vs épaisses : laquelle pour vous 👇,"Passez nous voir pour l'essayer, ou écrivez-nous sur WhatsApp. 👓",Story collection,"[Visuel Facebook · 1080x1920 (9:16)] Charte: fond Bleu Nuit #0A1F44 (dominante),…",Voir 04-scripts-video/,À produire
25,2026-07-13,08:00,Facebook,Confiance/Conversion,"P1 Awa, la maman prévoyante",PIL3 Preuve sociale & Témoignages,Preuve sociale & Témoignages,Témoignage d'une maman : le dépistage qui a sauvé l'année scolaire,Saviez-vous que... témoignage d'une maman : le dépistage qui a sauvé l'année scolaire ? On vous explique. 👇,Vous aussi ? Écrivez-nous « VUE » sur WhatsApp pour votre bilan. 💬,Témoignage vidéo,"[Visuel Facebook · 1080x1350 (4:5)] Charte: fond Bleu Nuit #0A1F44 (dominante), …",Voir 04-scripts-video/,À produire
26,2026-07-13,18:30,Instagram,Notoriété locale,"P5 M. Diallo, le décideur B2B",PIL5 Vie locale & Communauté,Vie locale & Communauté,Bonne fête à toutes les mamans de Yopougon,Saviez-vous que... bonne fête à toutes les mamans de yopougon ? On vous explique. 👇,Suivez-nous et taguez un voisin de Yopougon ! 🏘️,Carrousel communauté,"[Visuel Instagram · 1080x1350 (4:5)] Charte: fond Bleu Nuit #0A1F44 (dominante),…",Voir 04-scripts-video/,À produire
27,2026-07-14,08:00,Facebook,Notoriété/Expertise,"P3 Tante Mariam, la presbyte active",PIL1 Pédagogie & Santé visuelle,Pédagogie & Santé visuelle,Votre enfant plisse les yeux : faut-il s'inquiéter ?,Votre enfant plisse les yeux : faut-il s'inquiéter ?,Enregistrez ce post et partagez-le à un proche concerné. 👀,Infographie,"[Visuel Facebook · 1080x1350 (4:5)] Charte: fond Bleu Nuit #0A1F44 (dominante), …",Voir 04-scripts-video/,À produire
28,2026-07-14,18:30,WhatsApp Business,RDV/Vente,"P4 Yann, le jeune stylé",PIL4 Offres & Conversion,Offres & Conversion,Dépistage : et si vous faisiez vérifier votre vue ?,Dépistage : et si vous faisiez vérifier votre vue ?,📲 Réservez votre bilan en 2 clics : écrivez « RDV » sur WhatsApp.,Carrousel offre,[Visuel WhatsApp Business · 1080x1920 (9:16)] Charte: fond Bleu Nuit #0A1F44 (do…,Voir 04-scripts-video/,À produire
29,2026-07-15,08:00,TikTok,Vente,"P3 Tante Mariam, la presbyte active",PIL2 Produits & Montures,Produits & Montures,Verres amincis : légèreté et confort au quotidien,Vous hésitez encore ? Verres amincis : légèreté et confort au quotidien 👇,"Passez nous voir pour l'essayer, ou écrivez-nous sur WhatsApp. 👓",Carrousel produit,"[Visuel TikTok · 1080x1920 (9:16)] Charte: fond Bleu Nuit #0A1F44 (dominante), a…",Voir 04-scripts-video/,À produire
30,2026-07-15,18:30,Facebook,Expertise/B2B,"P2 Koffi, le pro hyperconnecté",PIL6 Coulisses & Expertise B2B,Coulisses & Expertise B2B,Offre entreprise : la santé visuelle de vos salariés,Saviez-vous que... offre entreprise : la santé visuelle de vos salariés ? On vous explique. 👇,Contactez-nous en message privé pour une offre entreprise. 🤝,Carrousel expertise,"[Visuel Facebook · 1080x1350 (4:5)] Charte: fond Bleu Nuit #0A1F44 (dominante), …",Voir 04-scripts-video/,À produire
31,2026-07-16,08:00,Facebook,Notoriété/Expertise,"P1 Awa, la maman prévoyante",PIL1 Pédagogie & Santé visuelle,Pédagogie & Santé visuelle,Pourquoi vous voyez flou le soir,Saviez-vous que... pourquoi vous voyez flou le soir ? On vous explique. 👇,Enregistrez ce post et partagez-le à un proche concerné. 👀,Infographie,"[Visuel Facebook · 1080x1350 (4:5)] Charte: fond Bleu Nuit #0A1F44 (dominante), …",Voir 04-scripts-video/,À produire
32,2026-07-16,18:30,Facebook,RDV/Vente,"P4 Yann, le jeune stylé",PIL4 Offres & Conversion,Offres & Conversion,RDV express : votre bilan sans attendre,Et si aujourd'hui était le bon jour pour rdv express : votre bilan sans attendre ?,📲 Réservez votre bilan en 2 clics : écrivez « RDV » sur WhatsApp.,Carrousel offre,"[Visuel Facebook · 1080x1350 (4:5)] Charte: fond Bleu Nuit #0A1F44 (dominante), …",Voir 04-scripts-video/,À produire
33,2026-07-17,08:00,Facebook,Vente,"P2 Koffi, le pro hyperconnecté",PIL2 Produits & Montures,Produits & Montures,Lunettes de soleil à votre vue : style et protection,Vous hésitez encore ? Lunettes de soleil à votre vue : style et protection 👇,"Passez nous voir pour l'essayer, ou écrivez-nous sur WhatsApp. 👓",Carrousel produit,"[Visuel Facebook · 1080x1350 (4:5)] Charte: fond Bleu Nuit #0A1F44 (dominante), …",Voir 04-scripts-video/,À produire
34,2026-07-17,18:30,Facebook,Confiance/Conversion,"P3 Tante Mariam, la presbyte active",PIL3 Preuve sociale & Témoignages,Preuve sociale & Témoignages,Un client raconte sa première paire chez nous,Saviez-vous que... un client raconte sa première paire chez nous ? On vous explique. 👇,Vous aussi ? Écrivez-nous « VUE » sur WhatsApp pour votre bilan. 💬,Carrousel avant/après,"[Visuel Facebook · 1080x1350 (4:5)] Charte: fond Bleu Nuit #0A1F44 (dominante), …",Voir 04-scripts-video/,À produire
35,2026-07-18,08:00,Facebook,Notoriété locale,"P1 Awa, la maman prévoyante",PIL5 Vie locale & Communauté,Vie locale & Communauté,"Yopougon, on prend soin de votre vue","Saviez-vous que... yopougon, on prend soin de votre vue ? On vous explique. 👇",Suivez-nous et taguez un voisin de Yopougon ! 🏘️,Story locale,"[Visuel Facebook · 1080x1920 (9:16)] Charte: fond Bleu Nuit #0A1F44 (dominante),…",Voir 04-scripts-video/,À produire
36,2026-07-18,18:30,LinkedIn,Notoriété/Expertise,"P3 Tante Mariam, la presbyte active",PIL1 Pédagogie & Santé visuelle,Pédagogie & Santé visuelle,Vision de près qui baisse après 40 ans : la presbytie expliquée,Saviez-vous que... vision de près qui baisse après 40 ans : la presbytie expliquée ? On vous explique. 👇,Enregistrez ce post et partagez-le à un proche concerné. 👀,Vidéo face caméra,"[Visuel LinkedIn · 1080x1080 (1:1)] Charte: fond Bleu Nuit #0A1F44 (dominante), …",Voir 04-scripts-video/,À produire
37,2026-07-19,08:00,WhatsApp Business,RDV/Vente,"P1 Awa, la maman prévoyante",PIL4 Offres & Conversion,Offres & Conversion,Vos yeux fatiguent au travail ? Parlons-en,Vos yeux fatiguent au travail ? Parlons-en,📲 Réservez votre bilan en 2 clics : écrivez « RDV » sur WhatsApp.,Visuel CTA,[Visuel WhatsApp Business · 1080x1920 (9:16)] Charte: fond Bleu Nuit #0A1F44 (do…,Voir 04-scripts-video/,À produire
38,2026-07-19,18:30,TikTok,Vente,"P3 Tante Mariam, la presbyte active",PIL2 Produits & Montures,Produits & Montures,Traitement antireflet : pourquoi ça change tout,Vous hésitez encore ? Traitement antireflet : pourquoi ça change tout 👇,"Passez nous voir pour l'essayer, ou écrivez-nous sur WhatsApp. 👓",Reel essayage,"[Visuel TikTok · 1080x1920 (9:16)] Charte: fond Bleu Nuit #0A1F44 (dominante), a…",Voir 04-scripts-video/,À produire
39,2026-07-20,08:00,LinkedIn,Confiance/Conversion,"P2 Koffi, le pro hyperconnecté",PIL3 Preuve sociale & Témoignages,Preuve sociale & Témoignages,Les coulisses d'un essayage réussi,Saviez-vous que... les coulisses d'un essayage réussi ? On vous explique. 👇,Vous aussi ? Écrivez-nous « VUE » sur WhatsApp pour votre bilan. 💬,Photo + citation,"[Visuel LinkedIn · 1080x1080 (1:1)] Charte: fond Bleu Nuit #0A1F44 (dominante), …",Voir 04-scripts-video/,À produire
40,2026-07-20,18:30,LinkedIn,Notoriété/Expertise,"P1 Awa, la maman prévoyante",PIL1 Pédagogie & Santé visuelle,Pédagogie & Santé visuelle,Mythe : « porter des lunettes rend dépendant »,Saviez-vous que... mythe : « porter des lunettes rend dépendant » ? On vous explique. 👇,Enregistrez ce post et partagez-le à un proche concerné. 👀,Vidéo face caméra,"[Visuel LinkedIn · 1080x1080 (1:1)] Charte: fond Bleu Nuit #0A1F44 (dominante), …",Voir 04-scripts-video/,À produire
41,2026-07-21,08:00,Facebook,RDV/Vente,"P1 Awa, la maman prévoyante",PIL4 Offres & Conversion,Offres & Conversion,Offre famille : équipez toute la maison,Et si aujourd'hui était le bon jour pour offre famille : équipez toute la maison ?,📲 Réservez votre bilan en 2 clics : écrivez « RDV » sur WhatsApp.,Visuel CTA,"[Visuel Facebook · 1080x1350 (4:5)] Charte: fond Bleu Nuit #0A1F44 (dominante), …",Voir 04-scripts-video/,À produire
42,2026-07-21,18:30,Facebook,Vente,"P2 Koffi, le pro hyperconnecté",PIL2 Produits & Montures,Produits & Montures,"Montures pour enfants : solides, légères, stylées","Vous hésitez encore ? Montures pour enfants : solides, légères, stylées 👇","Passez nous voir pour l'essayer, ou écrivez-nous sur WhatsApp. 👓",Reel essayage,"[Visuel Facebook · 1080x1920 (9:16)] Charte: fond Bleu Nuit #0A1F44 (dominante),…",Voir 04-scripts-video/,À produire
43,2026-07-22,08:00,Facebook,Notoriété/Expertise,"P1 Awa, la maman prévoyante",PIL1 Pédagogie & Santé visuelle,Pédagogie & Santé visuelle,Combien de temps dure une bonne paire de verres,Saviez-vous que... combien de temps dure une bonne paire de verres ? On vous explique. 👇,Enregistrez ce post et partagez-le à un proche concerné. 👀,Infographie,"[Visuel Facebook · 1080x1350 (4:5)] Charte: fond Bleu Nuit #0A1F44 (dominante), …",Voir 04-scripts-video/,À produire
44,2026-07-22,18:30,Facebook,RDV/Vente,"P4 Yann, le jeune stylé",PIL4 Offres & Conversion,Offres & Conversion,Nouvelle correction ? Faites le point avec nous,Nouvelle correction ? Faites le point avec nous,📲 Réservez votre bilan en 2 clics : écrivez « RDV » sur WhatsApp.,Carrousel offre,"[Visuel Facebook · 1080x1350 (4:5)] Charte: fond Bleu Nuit #0A1F44 (dominante), …",Voir 04-scripts-video/,À produire
45,2026-07-23,08:00,Facebook,Vente,"P2 Koffi, le pro hyperconnecté",PIL2 Produits & Montures,Produits & Montures,Les couleurs de monture qui mettent votre teint en valeur,Vous hésitez encore ? Les couleurs de monture qui mettent votre teint en valeur 👇,"Passez nous voir pour l'essayer, ou écrivez-nous sur WhatsApp. 👓",Carrousel produit,"[Visuel Facebook · 1080x1350 (4:5)] Charte: fond Bleu Nuit #0A1F44 (dominante), …",Voir 04-scripts-video/,À produire
46,2026-07-23,18:30,Facebook,Confiance/Conversion,"P3 Tante Mariam, la presbyte active",PIL3 Preuve sociale & Témoignages,Preuve sociale & Témoignages,Pourquoi nos clients reviennent (et reviennent encore),Saviez-vous que... pourquoi nos clients reviennent (et reviennent encore) ? On vous explique. 👇,Vous aussi ? Écrivez-nous « VUE » sur WhatsApp pour votre bilan. 💬,Carrousel avant/après,"[Visuel Facebook · 1080x1350 (4:5)] Charte: fond Bleu Nuit #0A1F44 (dominante), …",Voir 04-scripts-video/,À produire
47,2026-07-24,08:00,Facebook,Notoriété locale,"P1 Awa, la maman prévoyante",PIL5 Vie locale & Communauté,Vie locale & Communauté,"Notre cabinet, un lieu de confiance pour les familles","Saviez-vous que... notre cabinet, un lieu de confiance pour les familles ? On vous explique. 👇",Suivez-nous et taguez un voisin de Yopougon ! 🏘️,Story locale,"[Visuel Facebook · 1080x1920 (9:16)] Charte: fond Bleu Nuit #0A1F44 (dominante),…",Voir 04-scripts-video/,À produire
48,2026-07-24,18:30,LinkedIn,Notoriété/Expertise,"P3 Tante Mariam, la presbyte active",PIL1 Pédagogie & Santé visuelle,Pédagogie & Santé visuelle,"Astigmatisme, myopie, hypermétropie : la différence simple","Saviez-vous que... astigmatisme, myopie, hypermétropie : la différence simple ? On vous explique. 👇",Enregistrez ce post et partagez-le à un proche concerné. 👀,Vidéo face caméra,"[Visuel LinkedIn · 1080x1080 (1:1)] Charte: fond Bleu Nuit #0A1F44 (dominante), …",Voir 04-scripts-video/,À produire
49,2026-07-25,08:00,WhatsApp Business,RDV/Vente,"P1 Awa, la maman prévoyante",PIL4 Offres & Conversion,Offres & Conversion,Promo montures : le style à petit prix,Et si aujourd'hui était le bon jour pour promo montures : le style à petit prix ?,📲 Réservez votre bilan en 2 clics : écrivez « RDV » sur WhatsApp.,Visuel CTA,[Visuel WhatsApp Business · 1080x1920 (9:16)] Charte: fond Bleu Nuit #0A1F44 (do…,Voir 04-scripts-video/,À produire
50,2026-07-25,18:30,TikTok,Vente,"P3 Tante Mariam, la presbyte active",PIL2 Produits & Montures,Produits & Montures,Verres photochromiques : ils s'adaptent à la lumière,Vous hésitez encore ? Verres photochromiques : ils s'adaptent à la lumière 👇,"Passez nous voir pour l'essayer, ou écrivez-nous sur WhatsApp. 👓",Reel essayage,"[Visuel TikTok · 1080x1920 (9:16)] Charte: fond Bleu Nuit #0A1F44 (dominante), a…",Voir 04-scripts-video/,À produire
51,2026-07-26,08:00,LinkedIn,Confiance/Conversion,"P2 Koffi, le pro hyperconnecté",PIL3 Preuve sociale & Témoignages,Preuve sociale & Témoignages,Témoignage : un pro des écrans enfin soulagé,Saviez-vous que... témoignage : un pro des écrans enfin soulagé ? On vous explique. 👇,Vous aussi ? Écrivez-nous « VUE » sur WhatsApp pour votre bilan. 💬,Photo + citation,"[Visuel LinkedIn · 1080x1080 (1:1)] Charte: fond Bleu Nuit #0A1F44 (dominante), …",Voir 04-scripts-video/,À produire
52,2026-07-26,18:30,Facebook,Expertise/B2B,"P2 Koffi, le pro hyperconnecté",PIL6 Coulisses & Expertise B2B,Coulisses & Expertise B2B,Comment nous fabriquons une paire sur mesure,Saviez-vous que... comment nous fabriquons une paire sur mesure ? On vous explique. 👇,Contactez-nous en message privé pour une offre entreprise. 🤝,Infographie pro,"[Visuel Facebook · 1080x1350 (4:5)] Charte: fond Bleu Nuit #0A1F44 (dominante), …",Voir 04-scripts-video/,À produire
53,2026-07-27,08:00,Instagram,Notoriété/Expertise,"P2 Koffi, le pro hyperconnecté",PIL1 Pédagogie & Santé visuelle,Pédagogie & Santé visuelle,Pourquoi se frotter les yeux est une mauvaise idée,Saviez-vous que... pourquoi se frotter les yeux est une mauvaise idée ? On vous explique. 👇,Enregistrez ce post et partagez-le à un proche concerné. 👀,Carrousel pédagogique,"[Visuel Instagram · 1080x1350 (4:5)] Charte: fond Bleu Nuit #0A1F44 (dominante),…",Voir 04-scripts-video/,À produire
54,2026-07-27,18:30,Instagram,RDV/Vente,"P2 Koffi, le pro hyperconnecté",PIL4 Offres & Conversion,Offres & Conversion,Réservez votre essayage personnalisé,Et si aujourd'hui était le bon jour pour réservez votre essayage personnalisé ?,📲 Réservez votre bilan en 2 clics : écrivez « RDV » sur WhatsApp.,Story RDV,[Visuel Instagram · 1080x1920 (9:16)] Charte: fond Bleu Nuit #0A1F44 (dominante)…,Voir 04-scripts-video/,À produire
55,2026-07-28,08:00,Instagram,Vente,"P4 Yann, le jeune stylé",PIL2 Produits & Montures,Produits & Montures,Bien choisir ses lunettes de lecture,Vous hésitez encore ? Bien choisir ses lunettes de lecture 👇,"Passez nous voir pour l'essayer, ou écrivez-nous sur WhatsApp. 👓",Photo studio,"[Visuel Instagram · 1080x1350 (4:5)] Charte: fond Bleu Nuit #0A1F44 (dominante),…",Voir 04-scripts-video/,À produire
56,2026-07-28,18:30,Instagram,Notoriété locale,"P5 M. Diallo, le décideur B2B",PIL5 Vie locale & Communauté,Vie locale & Communauté,Saison des fêtes : voyez la vie en grand,Saviez-vous que... saison des fêtes : voyez la vie en grand ? On vous explique. 👇,Suivez-nous et taguez un voisin de Yopougon ! 🏘️,Reel ambiance,[Visuel Instagram · 1080x1920 (9:16)] Charte: fond Bleu Nuit #0A1F44 (dominante)…,Voir 04-scripts-video/,À produire
57,2026-07-29,08:00,Instagram,Notoriété/Expertise,"P3 Tante Mariam, la presbyte active",PIL1 Pédagogie & Santé visuelle,Pédagogie & Santé visuelle,La règle 20-20-20 pour reposer ses yeux,Saviez-vous que... la règle 20-20-20 pour reposer ses yeux ? On vous explique. 👇,Enregistrez ce post et partagez-le à un proche concerné. 👀,Carrousel pédagogique,"[Visuel Instagram · 1080x1350 (4:5)] Charte: fond Bleu Nuit #0A1F44 (dominante),…",Voir 04-scripts-video/,À produire
