ID,Titre,Plateforme,Objectif,Portee,Engagement,Partages,Commentaires,Messages,RDV,Score Engagement,Score Portee,Score Conversion,Score RDV,Score Global,Note,Recommandation
39,Les coulisses d'un essayage réussi,LinkedIn,Confiance/Conversion,,,,,,,"=IFERROR(ROUND(((F40+G40+H40)/MAX(E40,1))*100,1),0)","=IFERROR(ROUND((E40/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I40/MAX(E40,1))*100,1),0)","=IFERROR(ROUND((J40/MAX(I40,1))*100,1),0)","=ROUND(K40*0.3+L40*0.2+M40*0.25+N40*0.25,1)","=IFS(O40>=80,""A"",O40>=60,""B"",O40>=40,""C"",O40>=20,""D"",TRUE,""E"")","=IFS(P40=""A"",""À reproduire"",OR(P40=""B"",P40=""C""),""À optimiser"",TRUE,""À abandonner"")"
40,Mythe : « porter des lunettes rend dépendant »,LinkedIn,Notoriété/Expertise,,,,,,,"=IFERROR(ROUND(((F41+G41+H41)/MAX(E41,1))*100,1),0)","=IFERROR(ROUND((E41/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I41/MAX(E41,1))*100,1),0)","=IFERROR(ROUND((J41/MAX(I41,1))*100,1),0)","=ROUND(K41*0.3+L41*0.2+M41*0.25+N41*0.25,1)","=IFS(O41>=80,""A"",O41>=60,""B"",O41>=40,""C"",O41>=20,""D"",TRUE,""E"")","=IFS(P41=""A"",""À reproduire"",OR(P41=""B"",P41=""C""),""À optimiser"",TRUE,""À abandonner"")"
41,Offre famille : équipez toute la maison,Facebook,RDV/Vente,,,,,,,"=IFERROR(ROUND(((F42+G42+H42)/MAX(E42,1))*100,1),0)","=IFERROR(ROUND((E42/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I42/MAX(E42,1))*100,1),0)","=IFERROR(ROUND((J42/MAX(I42,1))*100,1),0)","=ROUND(K42*0.3+L42*0.2+M42*0.25+N42*0.25,1)","=IFS(O42>=80,""A"",O42>=60,""B"",O42>=40,""C"",O42>=20,""D"",TRUE,""E"")","=IFS(P42=""A"",""À reproduire"",OR(P42=""B"",P42=""C""),""À optimiser"",TRUE,""À abandonner"")"
42,"Montures pour enfants : solides, légères, stylées",Facebook,Vente,,,,,,,"=IFERROR(ROUND(((F43+G43+H43)/MAX(E43,1))*100,1),0)","=IFERROR(ROUND((E43/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I43/MAX(E43,1))*100,1),0)","=IFERROR(ROUND((J43/MAX(I43,1))*100,1),0)","=ROUND(K43*0.3+L43*0.2+M43*0.25+N43*0.25,1)","=IFS(O43>=80,""A"",O43>=60,""B"",O43>=40,""C"",O43>=20,""D"",TRUE,""E"")","=IFS(P43=""A"",""À reproduire"",OR(P43=""B"",P43=""C""),""À optimiser"",TRUE,""À abandonner"")"
43,Combien de temps dure une bonne paire de verres,Facebook,Notoriété/Expertise,,,,,,,"=IFERROR(ROUND(((F44+G44+H44)/MAX(E44,1))*100,1),0)","=IFERROR(ROUND((E44/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I44/MAX(E44,1))*100,1),0)","=IFERROR(ROUND((J44/MAX(I44,1))*100,1),0)","=ROUND(K44*0.3+L44*0.2+M44*0.25+N44*0.25,1)","=IFS(O44>=80,""A"",O44>=60,""B"",O44>=40,""C"",O44>=20,""D"",TRUE,""E"")","=IFS(P44=""A"",""À reproduire"",OR(P44=""B"",P44=""C""),""À optimiser"",TRUE,""À abandonner"")"
44,Nouvelle correction ? Faites le point avec nous,Facebook,RDV/Vente,,,,,,,"=IFERROR(ROUND(((F45+G45+H45)/MAX(E45,1))*100,1),0)","=IFERROR(ROUND((E45/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I45/MAX(E45,1))*100,1),0)","=IFERROR(ROUND((J45/MAX(I45,1))*100,1),0)","=ROUND(K45*0.3+L45*0.2+M45*0.25+N45*0.25,1)","=IFS(O45>=80,""A"",O45>=60,""B"",O45>=40,""C"",O45>=20,""D"",TRUE,""E"")","=IFS(P45=""A"",""À reproduire"",OR(P45=""B"",P45=""C""),""À optimiser"",TRUE,""À abandonner"")"
45,Les couleurs de monture qui mettent votre teint en valeur,Facebook,Vente,,,,,,,"=IFERROR(ROUND(((F46+G46+H46)/MAX(E46,1))*100,1),0)","=IFERROR(ROUND((E46/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I46/MAX(E46,1))*100,1),0)","=IFERROR(ROUND((J46/MAX(I46,1))*100,1),0)","=ROUND(K46*0.3+L46*0.2+M46*0.25+N46*0.25,1)","=IFS(O46>=80,""A"",O46>=60,""B"",O46>=40,""C"",O46>=20,""D"",TRUE,""E"")","=IFS(P46=""A"",""À reproduire"",OR(P46=""B"",P46=""C""),""À optimiser"",TRUE,""À abandonner"")"
46,Pourquoi nos clients reviennent (et reviennent encore),Facebook,Confiance/Conversion,,,,,,,"=IFERROR(ROUND(((F47+G47+H47)/MAX(E47,1))*100,1),0)","=IFERROR(ROUND((E47/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I47/MAX(E47,1))*100,1),0)","=IFERROR(ROUND((J47/MAX(I47,1))*100,1),0)","=ROUND(K47*0.3+L47*0.2+M47*0.25+N47*0.25,1)","=IFS(O47>=80,""A"",O47>=60,""B"",O47>=40,""C"",O47>=20,""D"",TRUE,""E"")","=IFS(P47=""A"",""À reproduire"",OR(P47=""B"",P47=""C""),""À optimiser"",TRUE,""À abandonner"")"
47,"Notre cabinet, un lieu de confiance pour les familles",Facebook,Notoriété locale,,,,,,,"=IFERROR(ROUND(((F48+G48+H48)/MAX(E48,1))*100,1),0)","=IFERROR(ROUND((E48/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I48/MAX(E48,1))*100,1),0)","=IFERROR(ROUND((J48/MAX(I48,1))*100,1),0)","=ROUND(K48*0.3+L48*0.2+M48*0.25+N48*0.25,1)","=IFS(O48>=80,""A"",O48>=60,""B"",O48>=40,""C"",O48>=20,""D"",TRUE,""E"")","=IFS(P48=""A"",""À reproduire"",OR(P48=""B"",P48=""C""),""À optimiser"",TRUE,""À abandonner"")"
48,"Astigmatisme, myopie, hypermétropie : la différence simple",LinkedIn,Notoriété/Expertise,,,,,,,"=IFERROR(ROUND(((F49+G49+H49)/MAX(E49,1))*100,1),0)","=IFERROR(ROUND((E49/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I49/MAX(E49,1))*100,1),0)","=IFERROR(ROUND((J49/MAX(I49,1))*100,1),0)","=ROUND(K49*0.3+L49*0.2+M49*0.25+N49*0.25,1)","=IFS(O49>=80,""A"",O49>=60,""B"",O49>=40,""C"",O49>=20,""D"",TRUE,""E"")","=IFS(P49=""A"",""À reproduire"",OR(P49=""B"",P49=""C""),""À optimiser"",TRUE,""À abandonner"")"
49,Promo montures : le style à petit prix,WhatsApp Business,RDV/Vente,,,,,,,"=IFERROR(ROUND(((F50+G50+H50)/MAX(E50,1))*100,1),0)","=IFERROR(ROUND((E50/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I50/MAX(E50,1))*100,1),0)","=IFERROR(ROUND((J50/MAX(I50,1))*100,1),0)","=ROUND(K50*0.3+L50*0.2+M50*0.25+N50*0.25,1)","=IFS(O50>=80,""A"",O50>=60,""B"",O50>=40,""C"",O50>=20,""D"",TRUE,""E"")","=IFS(P50=""A"",""À reproduire"",OR(P50=""B"",P50=""C""),""À optimiser"",TRUE,""À abandonner"")"
50,Verres photochromiques : ils s'adaptent à la lumière,TikTok,Vente,,,,,,,"=IFERROR(ROUND(((F51+G51+H51)/MAX(E51,1))*100,1),0)","=IFERROR(ROUND((E51/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I51/MAX(E51,1))*100,1),0)","=IFERROR(ROUND((J51/MAX(I51,1))*100,1),0)","=ROUND(K51*0.3+L51*0.2+M51*0.25+N51*0.25,1)","=IFS(O51>=80,""A"",O51>=60,""B"",O51>=40,""C"",O51>=20,""D"",TRUE,""E"")","=IFS(P51=""A"",""À reproduire"",OR(P51=""B"",P51=""C""),""À optimiser"",TRUE,""À abandonner"")"
51,Témoignage : un pro des écrans enfin soulagé,LinkedIn,Confiance/Conversion,,,,,,,"=IFERROR(ROUND(((F52+G52+H52)/MAX(E52,1))*100,1),0)","=IFERROR(ROUND((E52/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I52/MAX(E52,1))*100,1),0)","=IFERROR(ROUND((J52/MAX(I52,1))*100,1),0)","=ROUND(K52*0.3+L52*0.2+M52*0.25+N52*0.25,1)","=IFS(O52>=80,""A"",O52>=60,""B"",O52>=40,""C"",O52>=20,""D"",TRUE,""E"")","=IFS(P52=""A"",""À reproduire"",OR(P52=""B"",P52=""C""),""À optimiser"",TRUE,""À abandonner"")"
52,Comment nous fabriquons une paire sur mesure,Facebook,Expertise/B2B,,,,,,,"=IFERROR(ROUND(((F53+G53+H53)/MAX(E53,1))*100,1),0)","=IFERROR(ROUND((E53/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I53/MAX(E53,1))*100,1),0)","=IFERROR(ROUND((J53/MAX(I53,1))*100,1),0)","=ROUND(K53*0.3+L53*0.2+M53*0.25+N53*0.25,1)","=IFS(O53>=80,""A"",O53>=60,""B"",O53>=40,""C"",O53>=20,""D"",TRUE,""E"")","=IFS(P53=""A"",""À reproduire"",OR(P53=""B"",P53=""C""),""À optimiser"",TRUE,""À abandonner"")"
53,Pourquoi se frotter les yeux est une mauvaise idée,Instagram,Notoriété/Expertise,,,,,,,"=IFERROR(ROUND(((F54+G54+H54)/MAX(E54,1))*100,1),0)","=IFERROR(ROUND((E54/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I54/MAX(E54,1))*100,1),0)","=IFERROR(ROUND((J54/MAX(I54,1))*100,1),0)","=ROUND(K54*0.3+L54*0.2+M54*0.25+N54*0.25,1)","=IFS(O54>=80,""A"",O54>=60,""B"",O54>=40,""C"",O54>=20,""D"",TRUE,""E"")","=IFS(P54=""A"",""À reproduire"",OR(P54=""B"",P54=""C""),""À optimiser"",TRUE,""À abandonner"")"
54,Réservez votre essayage personnalisé,Instagram,RDV/Vente,,,,,,,"=IFERROR(ROUND(((F55+G55+H55)/MAX(E55,1))*100,1),0)","=IFERROR(ROUND((E55/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I55/MAX(E55,1))*100,1),0)","=IFERROR(ROUND((J55/MAX(I55,1))*100,1),0)","=ROUND(K55*0.3+L55*0.2+M55*0.25+N55*0.25,1)","=IFS(O55>=80,""A"",O55>=60,""B"",O55>=40,""C"",O55>=20,""D"",TRUE,""E"")","=IFS(P55=""A"",""À reproduire"",OR(P55=""B"",P55=""C""),""À optimiser"",TRUE,""À abandonner"")"
55,Bien choisir ses lunettes de lecture,Instagram,Vente,,,,,,,"=IFERROR(ROUND(((F56+G56+H56)/MAX(E56,1))*100,1),0)","=IFERROR(ROUND((E56/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I56/MAX(E56,1))*100,1),0)","=IFERROR(ROUND((J56/MAX(I56,1))*100,1),0)","=ROUND(K56*0.3+L56*0.2+M56*0.25+N56*0.25,1)","=IFS(O56>=80,""A"",O56>=60,""B"",O56>=40,""C"",O56>=20,""D"",TRUE,""E"")","=IFS(P56=""A"",""À reproduire"",OR(P56=""B"",P56=""C""),""À optimiser"",TRUE,""À abandonner"")"
56,Saison des fêtes : voyez la vie en grand,Instagram,Notoriété locale,,,,,,,"=IFERROR(ROUND(((F57+G57+H57)/MAX(E57,1))*100,1),0)","=IFERROR(ROUND((E57/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I57/MAX(E57,1))*100,1),0)","=IFERROR(ROUND((J57/MAX(I57,1))*100,1),0)","=ROUND(K57*0.3+L57*0.2+M57*0.25+N57*0.25,1)","=IFS(O57>=80,""A"",O57>=60,""B"",O57>=40,""C"",O57>=20,""D"",TRUE,""E"")","=IFS(P57=""A"",""À reproduire"",OR(P57=""B"",P57=""C""),""À optimiser"",TRUE,""À abandonner"")"
57,La règle 20-20-20 pour reposer ses yeux,Instagram,Notoriété/Expertise,,,,,,,"=IFERROR(ROUND(((F58+G58+H58)/MAX(E58,1))*100,1),0)","=IFERROR(ROUND((E58/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I58/MAX(E58,1))*100,1),0)","=IFERROR(ROUND((J58/MAX(I58,1))*100,1),0)","=ROUND(K58*0.3+L58*0.2+M58*0.25+N58*0.25,1)","=IFS(O58>=80,""A"",O58>=60,""B"",O58>=40,""C"",O58>=20,""D"",TRUE,""E"")","=IFS(P58=""A"",""À reproduire"",OR(P58=""B"",P58=""C""),""À optimiser"",TRUE,""À abandonner"")"
58,Bilan de vue : le premier pas vers un vrai confort,WhatsApp Business,RDV/Vente,,,,,,,"=IFERROR(ROUND(((F59+G59+H59)/MAX(E59,1))*100,1),0)","=IFERROR(ROUND((E59/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I59/MAX(E59,1))*100,1),0)","=IFERROR(ROUND((J59/MAX(I59,1))*100,1),0)","=ROUND(K59*0.3+L59*0.2+M59*0.25+N59*0.25,1)","=IFS(O59>=80,""A"",O59>=60,""B"",O59>=40,""C"",O59>=20,""D"",TRUE,""E"")","=IFS(P59=""A"",""À reproduire"",OR(P59=""B"",P59=""C""),""À optimiser"",TRUE,""À abandonner"")"
59,Montures premium : la qualité qui dure,TikTok,Vente,,,,,,,"=IFERROR(ROUND(((F60+G60+H60)/MAX(E60,1))*100,1),0)","=IFERROR(ROUND((E60/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I60/MAX(E60,1))*100,1),0)","=IFERROR(ROUND((J60/MAX(I60,1))*100,1),0)","=ROUND(K60*0.3+L60*0.2+M60*0.25+N60*0.25,1)","=IFS(O60>=80,""A"",O60>=60,""B"",O60>=40,""C"",O60>=20,""D"",TRUE,""E"")","=IFS(P60=""A"",""À reproduire"",OR(P60=""B"",P60=""C""),""À optimiser"",TRUE,""À abandonner"")"
60,Histoire d'une transformation : du flou à la netteté,LinkedIn,Confiance/Conversion,,,,,,,"=IFERROR(ROUND(((F61+G61+H61)/MAX(E61,1))*100,1),0)","=IFERROR(ROUND((E61/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I61/MAX(E61,1))*100,1),0)","=IFERROR(ROUND((J61/MAX(I61,1))*100,1),0)","=ROUND(K61*0.3+L61*0.2+M61*0.25+N61*0.25,1)","=IFS(O61>=80,""A"",O61>=60,""B"",O61>=40,""C"",O61>=20,""D"",TRUE,""E"")","=IFS(P61=""A"",""À reproduire"",OR(P61=""B"",P61=""C""),""À optimiser"",TRUE,""À abandonner"")"
61,Conduire de nuit devient difficile : ce que ça révèle,Instagram,Notoriété/Expertise,,,,,,,"=IFERROR(ROUND(((F62+G62+H62)/MAX(E62,1))*100,1),0)","=IFERROR(ROUND((E62/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I62/MAX(E62,1))*100,1),0)","=IFERROR(ROUND((J62/MAX(I62,1))*100,1),0)","=ROUND(K62*0.3+L62*0.2+M62*0.25+N62*0.25,1)","=IFS(O62>=80,""A"",O62>=60,""B"",O62>=40,""C"",O62>=20,""D"",TRUE,""E"")","=IFS(P62=""A"",""À reproduire"",OR(P62=""B"",P62=""C""),""À optimiser"",TRUE,""À abandonner"")"
62,Les écrans abîment-ils vraiment la vue des enfants ?,TikTok,Notoriété/Expertise,,,,,,,"=IFERROR(ROUND(((F63+G63+H63)/MAX(E63,1))*100,1),0)","=IFERROR(ROUND((E63/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I63/MAX(E63,1))*100,1),0)","=IFERROR(ROUND((J63/MAX(I63,1))*100,1),0)","=ROUND(K63*0.3+L63*0.2+M63*0.25+N63*0.25,1)","=IFS(O63>=80,""A"",O63>=60,""B"",O63>=40,""C"",O63>=20,""D"",TRUE,""E"")","=IFS(P63=""A"",""À reproduire"",OR(P63=""B"",P63=""C""),""À optimiser"",TRUE,""À abandonner"")"
63,Verres anti-lumière bleue : protégez vos yeux d'écran,Instagram,RDV/Vente,,,,,,,"=IFERROR(ROUND(((F64+G64+H64)/MAX(E64,1))*100,1),0)","=IFERROR(ROUND((E64/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I64/MAX(E64,1))*100,1),0)","=IFERROR(ROUND((J64/MAX(I64,1))*100,1),0)","=ROUND(K64*0.3+L64*0.2+M64*0.25+N64*0.25,1)","=IFS(O64>=80,""A"",O64>=60,""B"",O64>=40,""C"",O64>=20,""D"",TRUE,""E"")","=IFS(P64=""A"",""À reproduire"",OR(P64=""B"",P64=""C""),""À optimiser"",TRUE,""À abandonner"")"
64,Le bon poids de lunettes pour ne plus les sentir,Instagram,Vente,,,,,,,"=IFERROR(ROUND(((F65+G65+H65)/MAX(E65,1))*100,1),0)","=IFERROR(ROUND((E65/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I65/MAX(E65,1))*100,1),0)","=IFERROR(ROUND((J65/MAX(I65,1))*100,1),0)","=ROUND(K65*0.3+L65*0.2+M65*0.25+N65*0.25,1)","=IFS(O65>=80,""A"",O65>=60,""B"",O65>=40,""C"",O65>=20,""D"",TRUE,""E"")","=IFS(P65=""A"",""À reproduire"",OR(P65=""B"",P65=""C""),""À optimiser"",TRUE,""À abandonner"")"
65,Nos clients notent leur expérience : la confiance en chiffres,Instagram,Confiance/Conversion,,,,,,,"=IFERROR(ROUND(((F66+G66+H66)/MAX(E66,1))*100,1),0)","=IFERROR(ROUND((E66/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I66/MAX(E66,1))*100,1),0)","=IFERROR(ROUND((J66/MAX(I66,1))*100,1),0)","=ROUND(K66*0.3+L66*0.2+M66*0.25+N66*0.25,1)","=IFS(O66>=80,""A"",O66>=60,""B"",O66>=40,""C"",O66>=20,""D"",TRUE,""E"")","=IFS(P66=""A"",""À reproduire"",OR(P66=""B"",P66=""C""),""À optimiser"",TRUE,""À abandonner"")"
66,Soutien à la communauté : la santé visuelle pour tous,Instagram,Notoriété locale,,,,,,,"=IFERROR(ROUND(((F67+G67+H67)/MAX(E67,1))*100,1),0)","=IFERROR(ROUND((E67/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I67/MAX(E67,1))*100,1),0)","=IFERROR(ROUND((J67/MAX(I67,1))*100,1),0)","=ROUND(K67*0.3+L67*0.2+M67*0.25+N67*0.25,1)","=IFS(O67>=80,""A"",O67>=60,""B"",O67>=40,""C"",O67>=20,""D"",TRUE,""E"")","=IFS(P67=""A"",""À reproduire"",OR(P67=""B"",P67=""C""),""À optimiser"",TRUE,""À abandonner"")"
67,Pourquoi un bilan de vue n'est pas qu'une question de lunettes,Facebook,Notoriété/Expertise,,,,,,,"=IFERROR(ROUND(((F68+G68+H68)/MAX(E68,1))*100,1),0)","=IFERROR(ROUND((E68/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I68/MAX(E68,1))*100,1),0)","=IFERROR(ROUND((J68/MAX(I68,1))*100,1),0)","=ROUND(K68*0.3+L68*0.2+M68*0.25+N68*0.25,1)","=IFS(O68>=80,""A"",O68>=60,""B"",O68>=40,""C"",O68>=20,""D"",TRUE,""E"")","=IFS(P68=""A"",""À reproduire"",OR(P68=""B"",P68=""C""),""À optimiser"",TRUE,""À abandonner"")"
68,Un cadeau qui change la vie : offrez un bilan de vue,Facebook,RDV/Vente,,,,,,,"=IFERROR(ROUND(((F69+G69+H69)/MAX(E69,1))*100,1),0)","=IFERROR(ROUND((E69/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I69/MAX(E69,1))*100,1),0)","=IFERROR(ROUND((J69/MAX(I69,1))*100,1),0)","=ROUND(K69*0.3+L69*0.2+M69*0.25+N69*0.25,1)","=IFS(O69>=80,""A"",O69>=60,""B"",O69>=40,""C"",O69>=20,""D"",TRUE,""E"")","=IFS(P69=""A"",""À reproduire"",OR(P69=""B"",P69=""C""),""À optimiser"",TRUE,""À abandonner"")"
69,Verres pour écrans : le confort des pros connectés,Facebook,Vente,,,,,,,"=IFERROR(ROUND(((F70+G70+H70)/MAX(E70,1))*100,1),0)","=IFERROR(ROUND((E70/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I70/MAX(E70,1))*100,1),0)","=IFERROR(ROUND((J70/MAX(I70,1))*100,1),0)","=ROUND(K70*0.3+L70*0.2+M70*0.25+N70*0.25,1)","=IFS(O70>=80,""A"",O70>=60,""B"",O70>=40,""C"",O70>=20,""D"",TRUE,""E"")","=IFS(P70=""A"",""À reproduire"",OR(P70=""B"",P70=""C""),""À optimiser"",TRUE,""À abandonner"")"
70,Mutuelles & entreprises : devenez partenaire,Facebook,Expertise/B2B,,,,,,,"=IFERROR(ROUND(((F71+G71+H71)/MAX(E71,1))*100,1),0)","=IFERROR(ROUND((E71/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I71/MAX(E71,1))*100,1),0)","=IFERROR(ROUND((J71/MAX(I71,1))*100,1),0)","=ROUND(K71*0.3+L71*0.2+M71*0.25+N71*0.25,1)","=IFS(O71>=80,""A"",O71>=60,""B"",O71>=40,""C"",O71>=20,""D"",TRUE,""E"")","=IFS(P71=""A"",""À reproduire"",OR(P71=""B"",P71=""C""),""À optimiser"",TRUE,""À abandonner"")"
71,"Larmoiement, picotements : votre œil vous parle",Facebook,Notoriété/Expertise,,,,,,,"=IFERROR(ROUND(((F72+G72+H72)/MAX(E72,1))*100,1),0)","=IFERROR(ROUND((E72/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I72/MAX(E72,1))*100,1),0)","=IFERROR(ROUND((J72/MAX(I72,1))*100,1),0)","=ROUND(K72*0.3+L72*0.2+M72*0.25+N72*0.25,1)","=IFS(O72>=80,""A"",O72>=60,""B"",O72>=40,""C"",O72>=20,""D"",TRUE,""E"")","=IFS(P72=""A"",""À reproduire"",OR(P72=""B"",P72=""C""),""À optimiser"",TRUE,""À abandonner"")"
72,Une famille entière équipée chez La Grande Vision,LinkedIn,Confiance/Conversion,,,,,,,"=IFERROR(ROUND(((F73+G73+H73)/MAX(E73,1))*100,1),0)","=IFERROR(ROUND((E73/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I73/MAX(E73,1))*100,1),0)","=IFERROR(ROUND((J73/MAX(I73,1))*100,1),0)","=ROUND(K73*0.3+L73*0.2+M73*0.25+N73*0.25,1)","=IFS(O73>=80,""A"",O73>=60,""B"",O73>=40,""C"",O73>=20,""D"",TRUE,""E"")","=IFS(P73=""A"",""À reproduire"",OR(P73=""B"",P73=""C""),""À optimiser"",TRUE,""À abandonner"")"
73,Le soleil et vos yeux : protéger sa vue toute l'année,Instagram,Notoriété/Expertise,,,,,,,"=IFERROR(ROUND(((F74+G74+H74)/MAX(E74,1))*100,1),0)","=IFERROR(ROUND((E74/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I74/MAX(E74,1))*100,1),0)","=IFERROR(ROUND((J74/MAX(I74,1))*100,1),0)","=ROUND(K74*0.3+L74*0.2+M74*0.25+N74*0.25,1)","=IFS(O74>=80,""A"",O74>=60,""B"",O74>=40,""C"",O74>=20,""D"",TRUE,""E"")","=IFS(P74=""A"",""À reproduire"",OR(P74=""B"",P74=""C""),""À optimiser"",TRUE,""À abandonner"")"
74,Spécial presbytie : découvrez nos progressifs,Facebook,RDV/Vente,,,,,,,"=IFERROR(ROUND(((F75+G75+H75)/MAX(E75,1))*100,1),0)","=IFERROR(ROUND((E75/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I75/MAX(E75,1))*100,1),0)","=IFERROR(ROUND((J75/MAX(I75,1))*100,1),0)","=ROUND(K75*0.3+L75*0.2+M75*0.25+N75*0.25,1)","=IFS(O75>=80,""A"",O75>=60,""B"",O75>=40,""C"",O75>=20,""D"",TRUE,""E"")","=IFS(P75=""A"",""À reproduire"",OR(P75=""B"",P75=""C""),""À optimiser"",TRUE,""À abandonner"")"
75,Lunettes de sport : tenir et protéger,Facebook,Vente,,,,,,,"=IFERROR(ROUND(((F76+G76+H76)/MAX(E76,1))*100,1),0)","=IFERROR(ROUND((E76/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I76/MAX(E76,1))*100,1),0)","=IFERROR(ROUND((J76/MAX(I76,1))*100,1),0)","=ROUND(K76*0.3+L76*0.2+M76*0.25+N76*0.25,1)","=IFS(O76>=80,""A"",O76>=60,""B"",O76>=40,""C"",O76>=20,""D"",TRUE,""E"")","=IFS(P76=""A"",""À reproduire"",OR(P76=""B"",P76=""C""),""À optimiser"",TRUE,""À abandonner"")"
76,Venez nous rencontrer : voici comment nous trouver,Instagram,Notoriété locale,,,,,,,"=IFERROR(ROUND(((F77+G77+H77)/MAX(E77,1))*100,1),0)","=IFERROR(ROUND((E77/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I77/MAX(E77,1))*100,1),0)","=IFERROR(ROUND((J77/MAX(I77,1))*100,1),0)","=ROUND(K77*0.3+L77*0.2+M77*0.25+N77*0.25,1)","=IFS(O77>=80,""A"",O77>=60,""B"",O77>=40,""C"",O77>=20,""D"",TRUE,""E"")","=IFS(P77=""A"",""À reproduire"",OR(P77=""B"",P77=""C""),""À optimiser"",TRUE,""À abandonner"")"
77,Pourquoi changer de lunettes tous les 1 à 2 ans,Instagram,Notoriété/Expertise,,,,,,,"=IFERROR(ROUND(((F78+G78+H78)/MAX(E78,1))*100,1),0)","=IFERROR(ROUND((E78/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I78/MAX(E78,1))*100,1),0)","=IFERROR(ROUND((J78/MAX(I78,1))*100,1),0)","=ROUND(K78*0.3+L78*0.2+M78*0.25+N78*0.25,1)","=IFS(O78>=80,""A"",O78>=60,""B"",O78>=40,""C"",O78>=20,""D"",TRUE,""E"")","=IFS(P78=""A"",""À reproduire"",OR(P78=""B"",P78=""C""),""À optimiser"",TRUE,""À abandonner"")"
78,Vos lunettes sont rayées ? Renouvelez-les facilement,Instagram,RDV/Vente,,,,,,,"=IFERROR(ROUND(((F79+G79+H79)/MAX(E79,1))*100,1),0)","=IFERROR(ROUND((E79/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I79/MAX(E79,1))*100,1),0)","=IFERROR(ROUND((J79/MAX(I79,1))*100,1),0)","=ROUND(K79*0.3+L79*0.2+M79*0.25+N79*0.25,1)","=IFS(O79>=80,""A"",O79>=60,""B"",O79>=40,""C"",O79>=20,""D"",TRUE,""E"")","=IFS(P79=""A"",""À reproduire"",OR(P79=""B"",P79=""C""),""À optimiser"",TRUE,""À abandonner"")"
